,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.93,0.611,0,-4.406,1,0.0415,0.593,0.00124,0.0592,0.695,112.127,audio_features,0KyAGiNGUytG5JLxJu4F6l,spotify:track:0KyAGiNGUytG5JLxJu4F6l,https://api.spotify.com/v1/tracks/0KyAGiNGUytG5JLxJu4F6l,https://api.spotify.com/v1/audio-analysis/0KyAGiNGUytG5JLxJu4F6l,178352,4
1,0.705,0.373,7,-9.066,1,0.0384,0.723,0.81,0.289,0.551,120.046,audio_features,2mlGPkAx4kwF8Df0GlScsC,spotify:track:2mlGPkAx4kwF8Df0GlScsC,https://api.spotify.com/v1/tracks/2mlGPkAx4kwF8Df0GlScsC,https://api.spotify.com/v1/audio-analysis/2mlGPkAx4kwF8Df0GlScsC,208026,4
2,0.515,0.479,3,-7.458,1,0.0261,0.544,0.00598,0.191,0.284,88.964,audio_features,0rKtyWc8bvkriBthvHKY8d,spotify:track:0rKtyWc8bvkriBthvHKY8d,https://api.spotify.com/v1/tracks/0rKtyWc8bvkriBthvHKY8d,https://api.spotify.com/v1/audio-analysis/0rKtyWc8bvkriBthvHKY8d,209274,4
3,0.688,0.582,6,-10.668,0,0.0542,0.23,0.000157,0.0663,0.872,85.486,audio_features,7pBrj5rt4SSxXwFKOyZfHR,spotify:track:7pBrj5rt4SSxXwFKOyZfHR,https://api.spotify.com/v1/tracks/7pBrj5rt4SSxXwFKOyZfHR,https://api.spotify.com/v1/audio-analysis/7pBrj5rt4SSxXwFKOyZfHR,224661,4
4,0.756,0.609,3,-7.927,1,0.0544,0.217,0.00474,0.096,0.537,117.023,audio_features,5EYi2rH4LYs6M21ZLOyQTx,spotify:track:5EYi2rH4LYs6M21ZLOyQTx,https://api.spotify.com/v1/tracks/5EYi2rH4LYs6M21ZLOyQTx,https://api.spotify.com/v1/audio-analysis/5EYi2rH4LYs6M21ZLOyQTx,155720,4
5,0.431,0.962,4,-7.216,1,0.182,0.0413,0.000211,0.124,0.75,179.683,audio_features,70uQzsAyJ1vmloywhrO0ss,spotify:track:70uQzsAyJ1vmloywhrO0ss,https://api.spotify.com/v1/tracks/70uQzsAyJ1vmloywhrO0ss,https://api.spotify.com/v1/audio-analysis/70uQzsAyJ1vmloywhrO0ss,199341,4
6,0.909,0.517,1,-6.063,1,0.129,0.0365,1.73e-06,0.0949,0.471,136.012,audio_features,2pMl9Sx4glsuk5ikZtFBtX,spotify:track:2pMl9Sx4glsuk5ikZtFBtX,https://api.spotify.com/v1/tracks/2pMl9Sx4glsuk5ikZtFBtX,https://api.spotify.com/v1/audio-analysis/2pMl9Sx4glsuk5ikZtFBtX,113006,4
7,0.897,0.449,1,-9.295,1,0.429,0.221,0.0,0.103,0.707,135.97,audio_features,33kB5gz4gzOEZVkuWKHylS,spotify:track:33kB5gz4gzOEZVkuWKHylS,https://api.spotify.com/v1/tracks/33kB5gz4gzOEZVkuWKHylS,https://api.spotify.com/v1/audio-analysis/33kB5gz4gzOEZVkuWKHylS,90122,4
8,0.754,0.526,1,-12.96,1,0.0435,0.00261,0.466,0.113,0.716,117.051,audio_features,0Y08zhvCal5BZZNS0RqBFN,spotify:track:0Y08zhvCal5BZZNS0RqBFN,https://api.spotify.com/v1/tracks/0Y08zhvCal5BZZNS0RqBFN,https://api.spotify.com/v1/audio-analysis/0Y08zhvCal5BZZNS0RqBFN,167180,4
9,0.727,0.729,0,-2.99,1,0.326,0.171,0.0,0.07,0.512,117.932,audio_features,22UDw8rSfLbUsaAGTXQ4Z8,spotify:track:22UDw8rSfLbUsaAGTXQ4Z8,https://api.spotify.com/v1/tracks/22UDw8rSfLbUsaAGTXQ4Z8,https://api.spotify.com/v1/audio-analysis/22UDw8rSfLbUsaAGTXQ4Z8,284733,4
